Owned_Car,Owned_Realty,Total_Children,Total_Income,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status,Applicant_Gender_Encoded,Income_Type_Encoded,Education_Type_Encoded,Family_Status_Encoded,Housing_Type_Encoded
1,1,0,112500,1,0,0,0,2,59,4,0,30,1,1,4,4,1,1
0,1,0,270000,1,0,1,1,1,53,9,0,5,1,0,0,4,3,1
0,1,0,270000,1,0,1,1,1,53,9,0,5,1,0,0,4,3,1
0,1,0,270000,1,0,1,1,1,53,9,0,27,1,0,0,4,3,1
0,1,0,270000,1,0,1,1,1,53,9,0,39,1,0,0,4,3,1
1,1,0,270000,1,1,1,1,2,47,3,0,6,1,1,4,1,1,1
1,1,0,135000,1,0,0,0,2,49,4,0,8,1,1,0,4,1,1
1,1,0,135000,1,0,0,0,2,49,4,0,9,1,1,0,4,1,1
1,1,0,135000,1,0,0,0,2,49,4,0,9,1,1,0,4,1,1
1,1,0,135000,1,0,0,0,2,49,4,0,9,1,1,0,4,1,1
1,1,0,135000,1,0,0,0,2,49,4,0,5,1,1,0,4,1,1
1,1,0,135000,1,0,0,0,2,49,4,0,4,1,1,0,4,1,1
1,0,0,130500,1,0,0,0,2,30,4,1,25,1,0,4,2,1,1
1,0,0,130500,1,0,0,0,2,30,4,7,23,1,0,4,2,1,1
0,1,0,157500,1,0,1,0,2,28,5,2,30,1,0,4,4,1,1
0,1,0,157500,1,0,1,0,2,28,5,2,18,1,0,4,4,1,1
0,1,0,157500,1,0,1,0,2,28,5,2,33,1,0,4,4,1,1
1,1,3,270000,1,0,0,0,5,35,4,0,17,1,1,4,4,1,1
1,1,3,270000,1,0,0,0,5,35,4,0,17,1,1,4,4,1,1
0,1,1,405000,1,0,0,0,3,33,6,0,31,1,1,0,1,1,1
0,1,1,405000,1,0,0,0,3,33,6,0,14,1,1,0,1,1,1
0,1,1,405000,1,0,0,0,3,33,6,0,56,1,1,0,1,1,1
0,1,1,405000,1,0,0,0,3,33,6,0,5,1,1,0,1,1,1
0,1,1,405000,1,0,0,0,3,33,6,0,9,1,1,0,1,1,1
0,1,1,405000,1,0,0,0,3,33,6,0,30,1,1,0,1,1,1
1,1,0,112500,1,0,1,0,2,57,13,0,33,1,1,0,4,1,1
1,1,0,112500,1,0,1,0,2,57,13,0,12,1,1,0,4,1,1
1,1,0,112500,1,0,1,0,2,57,13,0,33,1,1,0,4,1,1
1,1,0,112500,1,0,1,0,2,57,13,0,12,1,1,0,4,1,1
1,1,0,112500,1,0,1,0,2,57,13,0,26,1,1,0,4,1,1
1,1,0,112500,1,0,1,0,2,57,13,0,12,1,1,0,4,1,1
